### Module positions - created on 2022-05-07 06:32
### Printed by pcb_positions plugin
## Unit = mm, Angle = deg.
## Pcb Height 85.664mm, Pcb Width 173.505mm [based on Edge bounding box]
## Side : ALL
## Board Aux Origin: 203.962mm ,119.380mm
# Ref         Val                 Package                       PosX       PosY       Pin1_PosX  Pin1_PosY    Rot     Side      Type
U1            ESP32_DevKit_V1_D.. esp32_devkit_v1_doit          -75.9831   12.3502    -75.9831   -213.7098   -90.0    top       SMD
J9            Screw_Terminal_01.. TerminalBlock_MetzConnect_T.. -69.4970   77.7690    -69.4970   -160.9910   180.0    top       THD
J12           Screw_Terminal_01.. TerminalBlock_MetzConnect_T.. -24.4970   77.7690    -24.4970   -160.9910   180.0    top       THD
J11           Screw_Terminal_01.. TerminalBlock_MetzConnect_T.. -39.4970   77.7690    -39.4970   -160.9910   180.0    top       THD
J7            Screw_Terminal_01.. TerminalBlock_MetzConnect_T.. -99.4970   77.7690    -99.4970   -160.9910   180.0    top       THD
J10           Screw_Terminal_01.. TerminalBlock_MetzConnect_T.. -54.4970   77.7690    -54.4970   -160.9910   180.0    top       THD
J8            Screw_Terminal_01.. TerminalBlock_MetzConnect_T.. -84.4970   77.7690    -84.4970   -160.9910   180.0    top       THD
J13           Screw_Terminal_01.. TerminalBlock_MetzConnect_T.. -9.4970    77.7690    -9.4970    -160.9910   180.0    top       THD
J6            Screw_Terminal_01.. TerminalBlock_MetzConnect_T.. -114.4970  77.7690    -114.4970  -160.9910   180.0    top       THD
J3            Screw_Terminal_01.. TerminalBlock_MetzConnect_T.. -159.4970  77.7690    -159.4970  -160.9910   180.0    top       THD
J4            Screw_Terminal_01.. TerminalBlock_MetzConnect_T.. -144.4970  77.7690    -144.4970  -160.9910   180.0    top       THD
J5            Screw_Terminal_01.. TerminalBlock_MetzConnect_T.. -129.4970  77.7690    -129.4970  -160.9910   180.0    top       THD
R46           680R                R_0805_2012Metric_Pad1.20x1.. -19.2751   28.5479    -20.2751   -210.2121     0.0    top       SMD
J2            Conn_01x11          PinHeader_1x12_P2.54mm_Vert.. -109.0081  17.4302    -109.0081  -221.3298    90.0    top       THD
RV12          Varistor            RV_Disc_D9mm_W3.3mm_P5mm      -21.2811   14.8502    -21.2811   -223.9098   -90.0    top       THD
