### Module positions - created on 2022-05-07 06:32
### Printed by pcb_positions plugin
## Unit = mm, Angle = deg.
## Pcb Height 85.664mm, Pcb Width 173.505mm [based on Edge bounding box]
## Side : top
## Board Aux Origin: 203.962mm ,119.380mm
# Ref         Val                 Package                       PosX       PosY       Pin1_PosX  Pin1_PosY    Rot     Side      Type
U1            ESP32_DevKit_V1_D.. esp32_devkit_v1_doit          -75.9831   12.3502    -75.9831   -213.7098   -90.0    top       SMD
R46           680R                R_0805_2012Metric_Pad1.20x1.. -19.2751   28.5479    -20.2751   -210.2121     0.0    top       SMD
R4            330R                R_0805_2012Metric_Pad1.20x1.. -134.1120  35.0349    -135.1120  -203.7251     0.0    top       SMD
R1            4k7                 R_0805_2012Metric_Pad1.20x1.. -108.8761  7.2702     -107.8761  -231.4898   180.0    top       SMD
R3            330R                R_0805_2012Metric_Pad1.20x1.. -148.9981  34.9402    -149.9981  -203.8198     0.0    top       SMD
R53           330R                R_0805_2012Metric_Pad1.20x1.. -14.7471   34.9504    -13.7471   -203.8096   180.0    top       SMD
R52           680R                R_0805_2012Metric_Pad1.20x1.. -94.1341   28.4135    -95.1341   -210.3465     0.0    top       SMD
R51           680R                R_0805_2012Metric_Pad1.20x1.. -64.4222   28.5345    -65.4222   -210.2255     0.0    top       SMD
R50           680R                R_0805_2012Metric_Pad1.20x1.. -79.0281   28.3594    -80.0281   -210.4006     0.0    top       SMD
R49           680R                R_0805_2012Metric_Pad1.20x1.. -99.3511   28.2252    -98.3511   -210.5348   180.0    top       SMD
R48           680R                R_0805_2012Metric_Pad1.20x1.. -48.5582   28.4803    -49.5582   -210.2797     0.0    top       SMD
R47           680R                R_0805_2012Metric_Pad1.20x1.. -162.2161  28.2252    -161.2161  -210.5348   180.0    top       SMD
R45           680R                R_0805_2012Metric_Pad1.20x1.. -33.1199   28.3990    -34.1199   -210.3610     0.0    top       SMD
R44           680R                R_0805_2012Metric_Pad1.20x1.. -117.6020  28.2638    -116.6020  -210.4962   180.0    top       SMD
R43           680R                R_0805_2012Metric_Pad1.20x1.. -131.2780  28.2367    -130.2780  -210.5233   180.0    top       SMD
R42           680R                R_0805_2012Metric_Pad1.20x1.. -145.8967  28.3179    -144.8967  -210.4421   180.0    top       SMD
R11           330R                R_0805_2012Metric_Pad1.20x1.. -28.9931   34.9402    -27.9931   -203.8198   180.0    top       SMD
R10           330R                R_0805_2012Metric_Pad1.20x1.. -44.2331   34.9402    -43.2331   -203.8198   180.0    top       SMD
R9            330R                R_0805_2012Metric_Pad1.20x1.. -59.7431   34.9402    -58.7431   -203.8198   180.0    top       SMD
R8            330R                R_0805_2012Metric_Pad1.20x1.. -75.3481   34.9402    -74.3481   -203.8198   180.0    top       SMD
R7            330R                R_0805_2012Metric_Pad1.20x1.. -89.9531   34.9402    -88.9531   -203.8198   180.0    top       SMD
R6            330R                R_0805_2012Metric_Pad1.20x1.. -104.5581  34.9402    -103.5581  -203.8198   180.0    top       SMD
R5            330R                R_0805_2012Metric_Pad1.20x1.. -119.7981  34.9402    -120.7981  -203.8198     0.0    top       SMD
R2            330R                R_0805_2012Metric_Pad1.20x1.. -165.8842  34.8239    -166.8842  -203.9361     0.0    top       SMD
Q21           BC857               SOT-23                        -90.6338   31.3937    -89.6838   -206.4288   -90.0    top       SMD
Q20           BC857               SOT-23                        -60.7888   31.3937    -59.8388   -206.4288   -90.0    top       SMD
Q19           BC857               SOT-23                        -76.0288   31.3937    -75.0788   -206.4288   -90.0    top       SMD
Q18           BC857               SOT-23                        -105.1849  31.3937    -104.2349  -206.4288   -90.0    top       SMD
Q17           BC857               SOT-23                        -44.9138   31.3937    -43.9638   -206.4288   -90.0    top       SMD
Q16           BC857               SOT-23                        -166.1988  31.3937    -165.2488  -206.4288   -90.0    top       SMD
Q15           BC857               SOT-23                        -15.7038   31.3937    -14.7538   -206.4288   -90.0    top       SMD
Q14           BC857               SOT-23                        -29.6738   31.3937    -28.7238   -206.4288   -90.0    top       SMD
Q13           BC857               SOT-23                        -120.4788  31.3937    -119.5288  -206.4288   -90.0    top       SMD
Q12           BC857               SOT-23                        -135.0838  31.3937    -134.1338  -206.4288   -90.0    top       SMD
Q11           BC857               SOT-23                        -149.6888  31.3937    -148.7388  -206.4288   -90.0    top       SMD
## End
